Player,Nation,Pos,Squad,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Playing Time Mn/MP,Playing Time Min%,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
Florian Wirtz,GER,MF,Liverpool,23-000,30,26,"2,245",24.9,5,3,8,5,0,0,1,0,0.20,0.12,0.32,0.20,0.32,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,46,17,37.0,1.84,0.68,0.11,0.29,75,73.4,82,8,4,30,0,1.73,35,27,+8,+0.32,-0.23,0,20,18,2,30,11,24,N/a,N/a,0
Frank Onyeka,NGA,MF,Brentford,28-122,6,0,92,1.0,0,1,1,0,0,0,0,0,0.00,0.98,0.98,0.00,0.98,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,0.00,0.00,N/a,N/a,15,2.9,N/a,0,6,15,10,1.50,3,2,+1,+0.98,+0.92,0,3,3,0,0,0,0,N/a,N/a,0
Freddie Potts,ENG,MF,West Ham United,22-233,22,12,"1,171",13.0,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,1,33.3,0.23,0.08,0.00,0.00,53,37.2,77,4,10,25,8,1.09,17,25,-8,-0.61,-0.25,0,15,14,0,34,16,18,N/a,N/a,0
Freddie Woodman,ENG,GK,Liverpool,29-060,2,1,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0.73,7,6,85.7,1,0,0,0,0.0,0,0,0,0,N/a,0,0,N/a,0.00,0.00,N/a,N/a,62,4.0,90,1,1,33,14,3.00,4,1,+3,+2.20,+1.89,0,0,0,0,0,0,0,N/a,N/a,0
Gabriel Gudmundsson,SWE,"DF,MF",Leeds United,27-004,32,31,"2,631",29.2,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,18,3,16.7,0.62,0.10,0.00,0.00,82,83.5,84,21,1,22,0,1.19,40,45,-5,-0.17,-0.17,1,31,56,3,88,28,47,N/a,N/a,1
Gabriel Jesus,BRA,FW,Arsenal,29-030,13,2,355,3.9,2,0,2,2,0,0,2,0,0.51,0.00,0.51,0.51,0.51,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15,10,66.7,3.80,2.54,0.13,0.20,27,11.3,58,0,11,22,9,2.08,6,6,0,0.00,-1.22,0,6,1,7,0,2,0,N/a,N/a,0
Gabriel Magalhães,BRA,DF,Arsenal,28-135,29,28,"2,526",28.1,3,4,7,3,0,0,4,0,0.11,0.14,0.25,0.11,0.25,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24,6,25.0,0.86,0.21,0.13,0.50,87,80.2,90,27,1,20,0,2.17,53,19,+34,+1.21,+0.63,0,18,30,0,6,21,20,N/a,N/a,0
Gabriel Martinelli,BRA,"FW,MF",Arsenal,24-319,28,10,990,11.0,1,3,4,1,0,0,3,0,0.09,0.27,0.36,0.09,0.36,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28,12,42.9,2.55,1.09,0.04,0.08,35,31.4,61,1,18,21,5,2.14,20,7,+13,+1.18,+0.14,0,10,13,5,31,1,8,N/a,N/a,0
Georginio Rutter,FRA,"MF,FW",Brighton,24-013,29,20,"1,728",19.2,3,3,6,3,0,0,2,0,0.16,0.16,0.31,0.16,0.31,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,39,13,33.3,2.03,0.68,0.08,0.23,60,54.9,78,4,9,19,4,1.41,26,19,+7,+0.36,+0.24,0,29,33,10,19,10,18,N/a,N/a,1
Gianluigi Donnarumma,ITA,GK,Manchester City,27-067,30,30,"2,700",30.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,25,0.83,92,66,72.8,20,7,3,13,43.3,1,0,1,0,100.0,0,0,N/a,0.00,0.00,N/a,N/a,90,90.9,90,30,0,N/a,0,2.23,61,25,+36,+1.20,+0.87,0,0,3,0,0,1,0,N/a,N/a,0
Giorgi Mamardashvili,GEO,GK,Liverpool,25-216,8,8,687,7.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,13,1.70,37,26,67.6,3,0,5,2,25.0,2,1,1,0,50.0,0,0,N/a,0.00,0.00,N/a,N/a,86,22.5,86,7,0,N/a,25,1.13,10,13,-3,-0.39,-1.00,0,1,2,0,0,0,0,N/a,N/a,0
Granit Xhaka,SUI,MF,Sunderland,33-218,31,29,"2,634",29.3,1,6,7,1,0,0,7,0,0.03,0.21,0.24,0.03,0.24,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,20,5,25.0,0.68,0.17,0.05,0.20,85,83.6,89,27,2,29,0,1.42,33,37,-4,-0.14,+0.74,0,21,36,0,87,27,29,N/a,N/a,0
Guglielmo Vicario,ITA,GK,Tottenham Hotspur,29-208,31,31,"2,790",31.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,50,1.61,131,83,63.4,7,9,15,7,22.6,2,2,0,0,0.0,0,0,N/a,0.00,0.00,N/a,N/a,90,91.2,90,31,0,N/a,0,0.97,40,50,-10,-0.32,-0.32,0,0,3,0,0,0,1,N/a,N/a,0
Guido Rodríguez,ARG,MF,West Ham United,32-021,6,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.50,0.00,0.00,N/a,30,5.7,67,0,4,12,15,0.67,1,2,-1,-0.50,-0.05,0,2,4,0,2,2,0,N/a,N/a,0
Habib Diarra,SEN,MF,Sunderland,22-120,18,15,"1,361",15.1,2,1,3,1,1,1,5,0,0.13,0.07,0.20,0.07,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24,8,33.3,1.59,0.53,0.04,0.13,76,43.2,85,8,3,30,0,1.22,15,19,-4,-0.26,-0.01,0,18,26,1,27,4,7,N/a,N/a,0
Hannibal Mejbri,TUN,MF,Burnley,23-102,24,12,"1,027",11.4,1,3,4,1,0,0,8,0,0.09,0.26,0.35,0.09,0.35,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15,4,26.7,1.31,0.35,0.07,0.25,43,32.6,71,3,12,15,2,0.75,13,23,-10,-0.88,+0.23,0,18,39,3,25,7,13,N/a,N/a,0
Harrison Armstrong,ENG,MF,Everton,19-104,11,6,499,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,5,2,40.0,0.90,0.36,0.00,0.00,45,16.3,73,1,5,12,5,1.36,4,10,-6,-1.08,-1.29,0,6,15,2,2,4,10,N/a,N/a,0
Harrison Reed,ENG,MF,Fulham,31-096,7,1,93,1.0,1,0,1,1,0,0,0,0,0.97,0.00,0.97,0.97,0.97,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,1,50.0,1.94,0.97,0.50,1.00,13,3.0,62,0,6,5,20,1.57,2,4,-2,-1.94,-1.94,0,2,1,0,4,0,0,N/a,N/a,0
Harry Howell,ENG,MF,Brighton,18-013,3,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,0.00,0.00,N/a,N/a,31,3.0,70,0,2,12,4,0.00,0,2,-2,-1.91,-2.24,0,0,0,1,4,0,0,N/a,N/a,0
Harry Maguire,ENG,DF,Manchester Utd,33-059,19,15,"1,293",14.4,1,2,3,1,0,0,3,1,0.07,0.14,0.21,0.07,0.21,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12,4,33.3,0.84,0.28,0.08,0.25,68,42.3,83,9,4,13,3,1.95,27,15,+12,+0.84,+0.73,0,13,16,0,2,9,10,N/a,N/a,0
Harry Wilson,WAL,MF,Fulham,29-042,33,31,"2,581",28.7,10,6,16,10,0,0,7,0,0.35,0.21,0.56,0.35,0.56,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,73,24,32.9,2.55,0.84,0.14,0.42,78,81.9,81,8,2,30,0,1.45,39,37,+2,+0.07,+0.70,0,13,34,12,111,16,18,N/a,N/a,0
Harvey Barnes,ENG,"FW,MF",Newcastle United,28-145,34,18,"1,817",20.2,6,0,6,6,0,0,1,0,0.30,0.00,0.30,0.30,0.30,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,53,19,35.8,2.63,0.94,0.11,0.32,53,57.7,80,7,16,24,1,1.24,31,28,+3,+0.15,+0.62,0,17,23,3,71,3,5,N/a,N/a,0
Harvey Elliott,ENG,MF,Aston Villa,23-029,4,1,112,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,5,0,0.0,4.02,0.00,0.00,N/a,28,3.7,45,0,3,22,4,1.25,2,2,0,0.00,-0.15,0,0,2,0,3,0,0,N/a,N/a,0
Hjalmar Ekdal,SWE,DF,Burnley,27-194,19,17,"1,539",17.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,1,16.7,0.35,0.06,0.00,0.00,81,48.9,89,15,2,9,13,0.53,13,34,-21,-1.23,-0.39,0,5,7,2,1,12,17,N/a,N/a,0
Hugo Bueno,ESP,"MF,DF",Wolves,23-227,32,25,"2,298",25.5,1,2,3,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15,6,40.0,0.59,0.23,0.07,0.17,72,73.0,86,17,7,23,0,0.56,20,42,-22,-0.86,+0.83,0,17,24,2,164,33,35,N/a,N/a,0
Hugo Ekitike,FRA,FW,Liverpool,23-317,28,21,"1,803",20.0,11,4,15,11,0,0,0,0,0.55,0.20,0.75,0.55,0.75,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,65,19,29.2,3.24,0.95,0.17,0.58,64,58.9,77,6,7,26,1,1.68,35,25,+10,+0.50,+0.28,0,35,12,10,7,4,7,N/a,N/a,0
Hwang Hee-chan,KOR,"FW,MF",Wolves,30-097,23,15,"1,190",13.2,2,1,3,1,1,1,3,0,0.15,0.08,0.23,0.08,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,6,37.5,1.21,0.45,0.06,0.17,52,37.8,70,0,8,17,7,0.35,8,24,-16,-1.21,-0.20,0,25,15,7,18,7,4,N/a,N/a,0
Hákon Valdimarsson,ISL,GK,Brentford,24-202,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,3.00,4,1,25.0,1,0,0,0,0.0,0,0,0,0,N/a,0,0,N/a,0.00,0.00,N/a,N/a,90,2.9,90,1,0,N/a,34,3.00,4,3,+1,+1.00,+0.94,0,0,0,0,0,0,0,N/a,N/a,0
Ian Maatsen,NED,DF,Aston Villa,24-054,26,14,"1,346",15.0,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,18,5,27.8,1.20,0.33,0.00,0.00,52,44.0,81,6,12,18,8,1.69,23,21,+2,+0.13,-0.02,0,14,17,1,49,14,27,N/a,N/a,0
Ibrahim Sangaré,CIV,MF,Nottingham Forest,28-152,26,24,"1,990",22.1,2,2,4,2,0,0,5,0,0.09,0.09,0.18,0.09,0.18,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,5,31.3,0.72,0.23,0.13,0.40,77,65.0,82,16,2,8,3,1.38,30,24,+6,+0.27,+1.11,0,39,18,0,8,18,30,N/a,N/a,0
Ibrahima Konaté,FRA,DF,Liverpool,26-343,32,32,"2,750",30.6,1,0,1,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10,3,30.0,0.33,0.10,0.10,0.33,86,89.9,86,25,0,N/a,1,1.78,49,36,+13,+0.43,+0.43,0,31,37,0,3,26,30,N/a,N/a,0
Idrissa Gana Gueye,SEN,MF,Everton,36-219,25,25,"2,093",23.3,2,3,5,2,0,0,1,1,0.09,0.13,0.22,0.09,0.22,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,29,7,24.1,1.25,0.30,0.07,0.29,84,68.4,84,16,0,N/a,0,1.32,26,26,0,0.00,0.00,0,21,31,0,19,29,21,N/a,N/a,0
Igor,BRA,DF,West Ham United,28-085,4,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,0.00,0.00,N/a,N/a,26,3.3,90,1,3,5,9,2.00,4,3,+1,+0.86,+1.36,0,1,0,0,0,1,0,N/a,N/a,0
Igor Jesus,BRA,FW,Nottingham Forest,25-067,33,24,"1,998",22.2,5,4,9,5,0,0,1,0,0.23,0.18,0.41,0.23,0.41,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,60,15,25.0,2.70,0.68,0.08,0.33,61,65.3,74,4,9,24,0,1.18,30,32,-2,-0.09,+0.08,0,37,35,11,9,2,14,N/a,N/a,0
Igor Thiago,BRA,FW,Brentford,24-311,35,34,"3,012",33.5,22,1,23,14,8,9,7,0,0.66,0.03,0.69,0.42,0.45,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,79,41,51.9,2.36,1.23,0.18,0.34,86,95.6,88,27,1,31,0,1.46,49,43,+6,+0.18,+2.14,0,65,24,22,15,11,19,N/a,N/a,0
Ilia Gruev,BUL,MF,Leeds United,25-362,23,15,"1,323",14.7,0,3,3,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,7,1,14.3,0.48,0.07,0.00,0.00,58,42.0,79,6,8,17,10,1.52,17,22,-5,-0.34,-0.34,0,16,9,0,16,14,13,N/a,N/a,0
Iliman Ndiaye,SEN,MF,Everton,26-058,28,28,"2,418",26.9,6,3,9,4,2,2,2,0,0.22,0.11,0.33,0.15,0.26,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,34,18,52.9,1.27,0.67,0.12,0.22,86,79.0,86,17,0,N/a,0,1.39,34,35,-1,-0.04,-0.18,0,28,36,10,50,15,38,N/a,N/a,0
Ismaila Sarr,SEN,MF,Crystal Palace,28-067,23,21,"1,874",20.8,7,1,8,5,2,2,2,0,0.34,0.05,0.38,0.24,0.29,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,37,16,43.2,1.78,0.77,0.14,0.31,81,63.1,86,17,2,30,0,1.35,27,22,+5,+0.24,+0.90,0,12,38,13,18,7,9,N/a,N/a,0
Issa Diop,MAR,DF,Fulham,29-114,10,6,596,6.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.15,0.00,0.00,N/a,60,18.9,89,5,4,15,12,1.30,8,11,-3,-0.45,-0.49,0,7,3,0,1,4,2,N/a,N/a,0
Jack Fletcher,ENG,MF,Manchester Utd,19-045,3,0,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.83,0.00,0.00,N/a,36,3.5,N/a,0,3,36,4,1.33,0,0,0,0.00,-0.43,0,2,1,0,0,1,1,N/a,N/a,0
Jack Grealish,ENG,MF,Everton,30-235,20,18,"1,627",18.1,2,6,8,2,0,0,5,1,0.11,0.33,0.44,0.11,0.44,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,26,8,30.8,1.44,0.44,0.08,0.25,81,53.2,88,11,2,20,0,1.55,23,23,0,0.00,0.00,1,13,58,0,39,11,15,N/a,N/a,0
Jack Harrison,ENG,FW,Leeds United,29-164,11,1,269,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,2,33.3,2.01,0.67,0.00,0.00,24,8.5,65,0,10,20,9,1.09,1,5,-4,-1.34,-1.31,0,1,4,0,17,4,2,N/a,N/a,0
Jack Hinshelwood,ENG,MF,Brighton,21-022,24,17,"1,500",16.7,3,3,6,3,0,0,0,0,0.18,0.18,0.36,0.18,0.36,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,32,13,40.6,1.92,0.78,0.09,0.23,63,47.6,75,4,7,32,2,1.38,20,20,0,0.00,-0.49,0,32,9,2,7,6,11,N/a,N/a,1
Jackson Tchatchoua,CMR,"MF,DF",Wolves,24-231,31,19,"1,845",20.5,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,1,33.3,0.15,0.05,0.00,0.00,60,58.6,82,14,12,24,3,0.55,17,37,-20,-0.98,+0.27,0,8,9,2,90,14,15,N/a,N/a,0
Jacob Bruun Larsen,DEN,"MF,FW",Burnley,27-226,25,10,"1,011",11.2,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,4,25.0,1.42,0.36,0.00,0.00,40,32.1,67,0,15,23,4,0.60,12,29,-17,-1.51,-0.71,0,1,0,3,40,6,3,N/a,N/a,0
Jacob Murphy,ENG,"FW,MF",Newcastle United,31-068,30,17,"1,496",16.6,3,2,5,3,0,0,2,0,0.18,0.12,0.30,0.18,0.30,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,40,12,30.0,2.41,0.72,0.08,0.25,50,47.5,71,1,13,22,3,1.27,24,18,+6,+0.36,+0.91,0,9,12,5,115,4,11,N/a,N/a,0
Jacob Ramsey,ENG,MF,Newcastle United,24-340,25,13,"1,240",13.8,2,1,3,2,0,0,5,1,0.15,0.07,0.22,0.15,0.22,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15,4,26.7,1.09,0.29,0.13,0.50,50,39.4,74,5,12,23,5,1.16,20,25,-5,-0.36,-0.41,1,15,13,2,8,9,11,N/a,N/a,0
Jadon Sancho,ENG,MF,Aston Villa,26-039,21,8,791,8.8,0,2,2,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10,3,30.0,1.14,0.34,0.00,0.00,38,25.8,65,0,13,21,5,1.76,12,7,+5,+0.57,+0.57,0,3,2,2,21,2,2,N/a,N/a,0
Jaidon Anthony,ENG,MF,Burnley,26-153,34,29,"2,462",27.4,7,2,9,7,0,0,4,0,0.26,0.07,0.33,0.26,0.33,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,50,20,40.0,1.83,0.73,0.14,0.35,72,78.2,82,12,5,17,1,0.59,27,55,-28,-1.02,+0.02,0,20,42,9,66,16,20,N/a,N/a,0
Jair Cunha,BRA,DF,Nottingham Forest,21-057,5,3,313,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0,0.0,0.58,0.00,0.00,N/a,63,10.2,76,2,2,42,14,1.40,10,5,+5,+1.44,+1.73,0,0,4,0,1,3,3,N/a,N/a,0
Jaka Bijol,SVN,DF,Leeds United,27-087,22,18,"1,641",18.2,1,2,3,1,0,0,3,0,0.05,0.11,0.16,0.05,0.16,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15,6,40.0,0.82,0.33,0.07,0.17,75,52.1,86,14,4,25,9,1.27,27,24,+3,+0.16,+0.64,0,15,10,0,1,22,13,N/a,N/a,0
Jake O'Brien,IRL,DF,Everton,24-353,33,31,"2,792",31.0,0,1,1,0,0,0,3,1,0.00,0.03,0.03,0.00,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10,4,40.0,0.32,0.13,0.00,0.00,85,91.2,87,27,2,42,0,1.42,38,38,0,0.00,0.00,0,16,15,4,45,12,30,N/a,N/a,0
James Garner,ENG,"MF,DF",Everton,25-051,34,34,"3,053",33.9,2,6,8,2,0,0,10,0,0.06,0.18,0.24,0.06,0.24,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,42,12,28.6,1.24,0.35,0.05,0.17,90,99.8,90,33,0,N/a,0,1.38,41,41,0,0.00,0.00,0,33,34,0,176,53,63,N/a,N/a,0
James Hill,ENG,DF,Bournemouth,24-113,25,18,"1,746",19.4,0,3,3,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11,2,18.2,0.57,0.10,0.00,0.00,70,57.1,88,16,7,23,5,1.72,28,22,+6,+0.31,+0.72,0,11,12,1,11,32,17,N/a,N/a,2
James Justin,ENG,"DF,MF",Leeds United,28-069,26,18,"1,631",18.1,2,1,3,2,0,0,4,0,0.11,0.06,0.17,0.11,0.17,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21,6,28.6,1.16,0.33,0.10,0.33,63,51.8,85,14,8,12,7,1.42,25,22,+3,+0.17,+0.64,0,11,24,2,33,24,31,N/a,N/a,0
James Mcatee,ENG,MF,Nottingham Forest,23-197,10,1,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.50,0.00,0.00,N/a,18,5.9,59,0,9,13,21,0.50,0,8,-8,-4.00,-4.12,0,4,3,1,8,1,3,N/a,N/a,0
James Milner,ENG,MF,Brighton,40-119,19,6,726,8.1,1,1,2,0,1,1,2,0,0.12,0.12,0.25,0.00,0.12,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,8,2,25.0,0.99,0.25,0.00,0.00,38,23.0,79,1,13,19,6,1.47,16,14,+2,+0.25,-0.01,0,11,3,1,14,5,9,N/a,N/a,0
James Tarkowski,ENG,DF,Everton,33-165,33,33,"2,970",33.0,1,2,3,1,0,0,6,0,0.03,0.06,0.09,0.03,0.09,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,8,50.0,0.48,0.24,0.06,0.13,90,97.1,90,33,0,N/a,0,1.42,41,39,+2,+0.06,+2.06,0,26,33,2,7,26,26,N/a,N/a,0
James Trafford,ENG,GK,Manchester City,23-205,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4,1.33,14,11,78.6,1,0,2,1,33.3,1,1,0,0,0.0,0,0,N/a,0.00,0.00,N/a,N/a,90,9.1,90,3,0,N/a,30,1.00,5,4,+1,+0.33,-0.87,0,0,1,0,0,0,1,N/a,N/a,0
James Ward-Prowse,ENG,MF,West Ham United,31-183,5,5,413,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0,0.0,0.44,0.00,0.00,0.00,83,13.1,83,2,0,25,1,0.60,2,11,-9,-1.96,-1.73,0,4,2,0,22,6,2,N/a,N/a,0
Jamie Gittens,ENG,MF,Chelsea,21-268,16,5,495,5.5,0,2,2,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10,2,20.0,1.82,0.36,0.00,0.00,31,16.2,57,1,11,19,6,2.06,7,7,0,0.00,-0.28,0,6,8,2,13,2,4,N/a,N/a,0
