Player,Nation,Pos,Squad,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Playing Time Mn/MP,Playing Time Min%,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
Bruno Guimarães,BRA,MF,Newcastle United,28-168,26,24,"2,209",24.5,9,5,14,7,2,2,5,0,0.37,0.20,0.57,0.29,0.49,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,35,18,51.4,1.43,0.73,0.20,0.39,85,70.1,89,18,2,37,1,1.46,39,33,+6,+0.24,+1.20,0,36,62,1,71,14,38,N/a,N/a,0
Bryan Mbeumo,CMR,"MF,FW",Manchester Utd,26-269,29,28,"2,367",26.3,9,3,12,9,0,0,4,0,0.34,0.11,0.46,0.34,0.46,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,61,30,49.2,2.32,1.14,0.15,0.30,82,77.4,84,13,1,21,0,1.90,49,32,+17,+0.65,+1.04,0,22,28,7,95,6,10,N/a,N/a,0
Bukayo Saka,ENG,"FW,MF",Arsenal,24-240,29,23,"2,053",22.8,7,4,11,6,1,1,1,0,0.31,0.18,0.48,0.26,0.44,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,66,27,40.9,2.89,1.18,0.09,0.22,71,65.2,82,14,6,27,0,2.31,45,16,+29,+1.27,+0.53,0,29,51,14,115,15,15,N/a,N/a,0
Callum Hudson-Odoi,ENG,MF,Nottingham Forest,25-177,30,21,"1,841",20.5,3,4,7,3,0,0,0,0,0.15,0.20,0.34,0.15,0.34,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,30,10,33.3,1.47,0.49,0.10,0.30,61,60.2,75,4,9,31,0,1.00,21,26,-5,-0.24,-0.32,0,12,12,2,91,8,7,N/a,N/a,0
Callum Wilson,ENG,"FW,MF",West Ham United,34-065,29,10,"1,110",12.3,6,1,7,6,0,0,1,0,0.49,0.08,0.57,0.49,0.57,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,33,13,39.4,2.68,1.05,0.18,0.46,38,35.2,67,1,19,23,5,1.17,19,21,-2,-0.16,+0.46,0,10,12,9,4,3,1,N/a,N/a,0
Calvin Bassey,NGA,DF,Fulham,26-123,27,25,"2,264",25.2,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12,1,8.3,0.48,0.04,0.08,1.00,84,71.9,90,25,2,7,2,1.26,33,38,-5,-0.20,-0.50,0,27,33,1,11,19,26,N/a,N/a,0
Caoimhín Kelleher,IRL,GK,Brentford,27-161,34,34,"3,060",34.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,43,1.26,124,88,68.5,13,9,12,10,29.4,7,4,3,0,42.9,0,0,N/a,0.00,0.00,N/a,N/a,90,97.1,90,34,0,N/a,0,1.41,48,43,+5,+0.15,+2.15,0,2,6,0,0,1,0,N/a,N/a,0
Carlos Alcaraz,ARG,MF,Everton,23-154,17,6,680,7.6,0,1,1,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,18,5,27.8,2.38,0.66,0.00,0.00,40,22.2,75,0,11,21,7,1.24,8,9,-1,-0.13,-0.17,0,9,11,1,5,2,8,N/a,N/a,0
Carlos Baleba,CMR,MF,Brighton,22-120,28,21,"1,464",16.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17,1,5.9,1.05,0.06,0.00,0.00,52,46.5,65,3,7,13,1,1.43,18,20,-2,-0.12,-0.71,0,29,17,0,0,26,17,N/a,N/a,0
Casemiro,BRA,MF,Manchester Utd,34-069,32,31,"2,401",26.7,9,2,11,9,0,0,10,1,0.34,0.07,0.41,0.34,0.41,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,48,17,35.4,1.80,0.64,0.19,0.53,75,78.5,77,12,1,11,0,1.91,49,27,+22,+0.82,+1.92,1,44,33,4,19,26,43,N/a,N/a,0
